"category","horizon","shock","crisis_type","beta","se","ci_lo","ci_hi","delta","se_delta","p_delta"
"Anticipation (O-news)",1,"O_news_count","Pandemic",-0.0271753936176755,0.026410047137228,-0.0789390860066424,0.0245882987712915,-0.00264697108341799,0.0479483468971814,0.955975434809176
"Anticipation (O-news)",1,"O_news_count","Geopolitical",-0.0538274519051852,0.0185295183631227,-0.0901453078969058,-0.0175095959134647,-0.0292990293709278,0.0427604541365942,0.493224124779979
"Anticipation (O-news)",2,"O_news_count","Calm",-0.0202324282124193,0.0403615403170939,-0.0993410472339233,0.0588761908090847,NA,NA,NA
"Anticipation (O-news)",2,"O_news_count","Pandemic",-0.0736868134372264,0.0193431941567505,-0.111599473984457,-0.0357741528899955,-0.0534543852248071,0.0453110825243737,0.238111641004432
"Anticipation (O-news)",2,"O_news_count","Geopolitical",-0.0202237092855808,0.0150154887738466,-0.0496540672823202,0.00920664871115853,0.00000871892683845799,0.0423971772418379,0.999835916032276
"Anticipation (O-news)",3,"O_news_count","Calm",-0.0132569112378405,0.0354930385428151,-0.0828232667817581,0.0563094443060771,NA,NA,NA
"Anticipation (O-news)",3,"O_news_count","Pandemic",-0.0822864927370927,0.0151361261533946,-0.111953299997746,-0.0526196854764393,-0.0690295814992522,0.038014107771203,0.0693866690707004
"Anticipation (O-news)",3,"O_news_count","Geopolitical",0.0167793486998902,0.0174243025255323,-0.017372284250153,0.0509309816499334,0.0300362599377307,0.04029724671703,0.456049557069164
"Anticipation (O-news)",4,"O_news_count","Calm",-0.0050104001858145,0.0308193027397623,-0.0654162335557487,0.0553954331841197,NA,NA,NA
"Anticipation (O-news)",4,"O_news_count","Pandemic",-0.0664871723964154,0.0151410242291927,-0.0961635798856331,-0.0368107649071977,-0.0614767722106009,0.0322874619155868,0.0569043568919812
"Anticipation (O-news)",4,"O_news_count","Geopolitical",-0.0209201544526382,0.0144646887161933,-0.0492709443363771,0.00743063543110061,-0.0159097542668237,0.03290599752585,0.628747135275235
"Anticipation (O-news)",5,"O_news_count","Calm",0.00179095490709419,0.0215567713907018,-0.0404603170186814,0.0440422268328697,NA,NA,NA
"Anticipation (O-news)",5,"O_news_count","Pandemic",-0.0653307911357121,0.0151657913226303,-0.0950557421280675,-0.0356058401433566,-0.0671217460428062,0.0238715457682555,0.00492668342155252
"Anticipation (O-news)",5,"O_news_count","Geopolitical",-0.0619536266679941,0.0234623268169561,-0.107939787229228,-0.0159674661067602,-0.0637445815750883,0.0317207204104518,0.0444781434977811
"Anticipation (O-news)",6,"O_news_count","Calm",0.0142701742672253,0.0279694405819712,-0.0405499292734382,0.0690902778078889,NA,NA,NA
"Anticipation (O-news)",6,"O_news_count","Pandemic",-0.0785499888519333,0.0203609531650824,-0.118457457055495,-0.0386425206483718,-0.0928201631191586,0.0334986071706047,0.00559073704680227
"Anticipation (O-news)",6,"O_news_count","Geopolitical",-0.0460727483143794,0.0375258461973064,-0.1196234068611,0.0274779102323411,-0.0603429225816047,0.0473122561965479,0.202161185824514
"Anticipation (O-news)",7,"O_news_count","Calm",0.015947510261067,0.0186144376587351,-0.0205367875500537,0.0524318080721877,NA,NA,NA
"Anticipation (O-news)",7,"O_news_count","Pandemic",-0.0541835034380206,0.0164052718981703,-0.0863378363584344,-0.0220291705176068,-0.0701310136990876,0.024852029753359,0.00477336466488018
"Anticipation (O-news)",7,"O_news_count","Geopolitical",0.0425315276755415,0.0207310121338318,0.00189874389323124,0.0831643114578517,0.0265840174144745,0.0280288758410001,0.342899868632698
"Anticipation (O-news)",8,"O_news_count","Calm",0.000697059947513679,0.0288232367178632,-0.0557964840194981,0.0571906039145255,NA,NA,NA
"Anticipation (O-news)",8,"O_news_count","Pandemic",-0.0688119338183106,0.01736243753829,-0.102842311393359,-0.0347815562432621,-0.0695089937658243,0.0353571321904152,0.0493088312094165
"Anticipation (O-news)",8,"O_news_count","Geopolitical",0.00498877923992561,0.0137109438683228,-0.021884670741987,0.0318622292218382,0.00429171929241193,0.0313403164092985,0.891078817360517
"Anticipation (O-news)",9,"O_news_count","Calm",-0.0130626455438415,0.0407582706565794,-0.0929488560307372,0.0668235649430543,NA,NA,NA
"Anticipation (O-news)",9,"O_news_count","Pandemic",-0.0693416556992588,0.0186252696962995,-0.105847184304006,-0.0328361270945118,-0.0562790101554174,0.0457642568696796,0.218787337938931
"Anticipation (O-news)",9,"O_news_count","Geopolitical",-0.0321225638431762,0.0127426306049229,-0.0570981198288251,-0.00714700785752739,-0.0190599182993348,0.0408136446864229,0.640500820636305
"Anticipation (O-news)",10,"O_news_count","Calm",-0.00178689685131461,0.0386339093121062,-0.0775093591030428,0.0739355654004135,NA,NA,NA
"Anticipation (O-news)",10,"O_news_count","Pandemic",-0.0866171848999691,0.0128055533694532,-0.111716069504097,-0.0615183002958409,-0.0848302880486545,0.039644150342502,0.0323714733688944
"Anticipation (O-news)",10,"O_news_count","Geopolitical",-0.0326153859874158,0.0124756975797931,-0.0570677532438103,-0.00816301873102126,-0.0308284891361011,0.0414338081381976,0.456851129675935
"Anticipation (O-news)",11,"O_news_count","Calm",0.0118235990733611,0.0251785485754593,-0.0375263561345391,0.0611735542812614,NA,NA,NA
"Anticipation (O-news)",11,"O_news_count","Pandemic",-0.0782582410406442,0.0133921091861837,-0.104506775045564,-0.0520097070357241,-0.0900818401140054,0.0257878387185661,0.000477285414620572
"Anticipation (O-news)",11,"O_news_count","Geopolitical",-0.0277463148471016,0.0108321158995274,-0.0489772620101753,-0.00651536768402783,-0.0395699139204627,0.0263888551057401,0.133745681048518
"Anticipation (O-news)",12,"O_news_count","Calm",-0.0235883641485874,0.0265316858503689,-0.0755904684153105,0.0284137401181356,NA,NA,NA
"Anticipation (O-news)",12,"O_news_count","Pandemic",-0.0555311424377739,0.0143241416407995,-0.0836064600537409,-0.0274558248218068,-0.0319427782891864,0.0283911366782008,0.260547998321954
"Anticipation (O-news)",12,"O_news_count","Geopolitical",-0.0230724553745362,0.00792784865862375,-0.0386110387454387,-0.00753387200363362,0.000515908774051277,0.0275260387330109,0.985046466340843
"Anticipation (O-news)",13,"O_news_count","Calm",-0.0127774263221364,0.0276677341435473,-0.0670061852434891,0.0414513325992162,NA,NA,NA
"Anticipation (O-news)",13,"O_news_count","Pandemic",-0.0359967207806853,0.0130608102713261,-0.0615959089124845,-0.010397532648886,-0.0232192944585489,0.0299707379873868,0.438497945751609
"Anticipation (O-news)",13,"O_news_count","Geopolitical",-0.0127717685261564,0.00817984969108816,-0.0288042739206891,0.00326073686837643,0.00000565779598005189,0.0294253195634626,0.99984658559024
"Anticipation (O-news)",14,"O_news_count","Calm",-0.00573019578017964,0.0164420230840634,-0.037956561024944,0.0264961694645847,NA,NA,NA
"Anticipation (O-news)",14,"O_news_count","Pandemic",-0.0122199938458716,0.0168630550503654,-0.0452715817445878,0.0208315940528446,-0.00648979806569197,0.0236978442145808,0.784195245992558
"Anticipation (O-news)",14,"O_news_count","Geopolitical",0.0130091623684848,0.0119692752884308,-0.0104506171968395,0.0364689419338092,0.0187393581486645,0.0205807485819814,0.362543858203868
"Mobilization (O-mobility)",0,"O_mobil_dist_0","Calm",0.0527447810661183,0.0247943053101624,0.00414794265820006,0.101341619474037,NA,NA,NA
"Mobilization (O-mobility)",0,"O_mobil_dist_0","Climate",0.0362771097512294,0.10937518169317,-0.178098246367384,0.250652465869843,-0.016467671314889,0.110898643908308,0.881953717127654
"Mobilization (O-mobility)",1,"O_mobil_dist_0","Calm",0.0312498213243719,0.0396187312585937,-0.0464028919424717,0.108902534591215,NA,NA,NA
"Mobilization (O-mobility)",1,"O_mobil_dist_0","Climate",-0.0296066819984873,0.134034433068657,-0.292314170813054,0.233100806816079,-0.0608565033228592,0.124599629575099,0.625254923216772
"Mobilization (O-mobility)",2,"O_mobil_dist_0","Calm",0.0648011647543216,0.0343652472952375,-0.00255471994434395,0.132157049452987,NA,NA,NA
"Mobilization (O-mobility)",2,"O_mobil_dist_0","Climate",0.158231045400765,0.1103374680587,-0.0580303919942867,0.374492482795816,0.0934298806464433,0.1047182744326,0.372284533439665
