date;city;Pandemic_severity_index
08/02/2018;São Miguel do Oeste;
08/02/2018;Laguna;
08/02/2018;Curitibanos;
08/02/2018;Rio Negrinho;
08/02/2018;Campos Novos;
08/02/2018;Itapoá;
08/02/2018;Joaçaba;
09/02/2018;Florianópolis;
09/02/2018;Itajaí;
09/02/2018;Chapecó;
09/02/2018;Lages;
09/02/2018;Caçador;
09/02/2018;Araranguá;
09/02/2018;Indaial;
09/02/2018;Xanxerê;
09/02/2018;São Miguel do Oeste;
09/02/2018;Laguna;
09/02/2018;Curitibanos;
09/02/2018;Rio Negrinho;
09/02/2018;Campos Novos;
09/02/2018;Itapoá;
09/02/2018;Joaçaba;
10/02/2018;Florianópolis;
10/02/2018;Itajaí;
10/02/2018;Chapecó;
10/02/2018;Lages;
10/02/2018;Caçador;
10/02/2018;Araranguá;
10/02/2018;Indaial;
10/02/2018;Xanxerê;
10/02/2018;São Miguel do Oeste;
10/02/2018;Laguna;
10/02/2018;Curitibanos;
10/02/2018;Rio Negrinho;
10/02/2018;Campos Novos;
10/02/2018;Itapoá;
10/02/2018;Joaçaba;
11/02/2018;Florianópolis;
11/02/2018;Itajaí;
11/02/2018;Chapecó;
11/02/2018;Lages;
11/02/2018;Caçador;
11/02/2018;Araranguá;
11/02/2018;Indaial;
11/02/2018;Xanxerê;
11/02/2018;São Miguel do Oeste;
11/02/2018;Laguna;
11/02/2018;Curitibanos;
11/02/2018;Rio Negrinho;
11/02/2018;Campos Novos;
11/02/2018;Itapoá;
11/02/2018;Joaçaba;
12/02/2018;Florianópolis;
12/02/2018;Itajaí;
12/02/2018;Chapecó;
12/02/2018;Lages;
12/02/2018;Caçador;
12/02/2018;Araranguá;
12/02/2018;Indaial;
12/02/2018;Xanxerê;
12/02/2018;São Miguel do Oeste;
12/02/2018;Laguna;
12/02/2018;Curitibanos;
12/02/2018;Rio Negrinho;
12/02/2018;Campos Novos;
12/02/2018;Itapoá;
12/02/2018;Joaçaba;
13/02/2018;Florianópolis;
13/02/2018;Itajaí;
13/02/2018;Chapecó;
13/02/2018;Lages;
13/02/2018;Caçador;
13/02/2018;Araranguá;
13/02/2018;Indaial;
13/02/2018;Xanxerê;
